ENDEREÇO GOOGLE MAPS,GPS,ALIMENTADOR,GPS - FUSIVEL
FPG1047,"https://www.google.com/maps/place/-6.66849274, -40.47437963",ANN01P4,"-6.66849274, -40.47437963"
FPG1045,"https://www.google.com/maps/place/-6.60928413, -40.29344353",ANN01P4,"-6.60928413, -40.29344353"
FPG1022,"https://www.google.com/maps/place/-6.39909337, -40.3048668",ANN01P4,"-6.39909337, -40.3048668"
FPG1023,"https://www.google.com/maps/place/-6.39869162, -40.29566264",ANN01P4,"-6.39869162, -40.29566264"
FPG1790,"https://www.google.com/maps/place/-6.67820482, -40.08054027",ANN01P4,"-6.67820482, -40.08054027"
FPG2141,"https://www.google.com/maps/place/-6.79636724, -40.02830284",ANN01P4,"-6.79636724, -40.02830284"
FPG2031,"https://www.google.com/maps/place/-6.55637378, -40.11416301",ANN01P4,"-6.55637378, -40.11416301"
FPG1017,"https://www.google.com/maps/place/-6.73110002, -40.07509275",ANN01P4,"-6.73110002, -40.07509275"
FPG2029,"https://www.google.com/maps/place/-6.69340008, -40.12071237",ANN01P4,"-6.69340008, -40.12071237"
FPG0743,"https://www.google.com/maps/place/-6.39906026, -40.41961394",ANN01P4,"-6.39906026, -40.41961394"
FPG1054,"https://www.google.com/maps/place/-6.51374519, -40.38525699",ANN01P4,"-6.51374519, -40.38525699"
FPG1061,"https://www.google.com/maps/place/-6.48801557, -40.18981526",ANN01P4,"-6.48801557, -40.18981526"
FPG1063,"https://www.google.com/maps/place/-6.48268283, -40.18451303",ANN01P4,"-6.48268283, -40.18451303"
FPG1060,"https://www.google.com/maps/place/-6.48410358, -40.20337855",ANN01P4,"-6.48410358, -40.20337855"
FPG0896,"https://www.google.com/maps/place/-6.64014772, -40.42627046",ANN01P4,"-6.64014772, -40.42627046"
FPG1137,"https://www.google.com/maps/place/-6.5693399, -40.13190004",ANN01P4,"-6.5693399, -40.13190004"
FPG1036,"https://www.google.com/maps/place/-6.54729841, -40.44246258",ANN01P4,"-6.54729841, -40.44246258"
FPG2036,"https://www.google.com/maps/place/-6.46767822, -40.27431815",ANN01P4,"-6.46767822, -40.27431815"
FPG2034,"https://www.google.com/maps/place/-6.55045146, -40.25156599",ANN01P4,"-6.55045146, -40.25156599"
FPG2143,"https://www.google.com/maps/place/-6.57827722, -40.19727271",ANN01P4,"-6.57827722, -40.19727271"
FPG0801,"https://www.google.com/maps/place/-6.57132747, -40.49449197",ANN01P4,"-6.57132747, -40.49449197"
FPG2038,"https://www.google.com/maps/place/-6.7092892, -40.13332338",ANN01P4,"-6.7092892, -40.13332338"
FPG1124,"https://www.google.com/maps/place/-6.45615636, -40.4113822",ANN01P4,"-6.45615636, -40.4113822"
FPG1123,"https://www.google.com/maps/place/-6.46065373, -40.3906814",ANN01P4,"-6.46065373, -40.3906814"
FPG1056,"https://www.google.com/maps/place/-6.84046708, -40.08266512",ANN01P4,"-6.84046708, -40.08266512"
FPG2552,"https://www.google.com/maps/place/-6.60438044, -40.37186017",ANN01P4,"-6.60438044, -40.37186017"
FPG2129,"https://www.google.com/maps/place/-6.58288045, -40.15121296",ANN01P4,"-6.58288045, -40.15121296"
FPG1050,"https://www.google.com/maps/place/-6.660509, -40.60160776",ANN01P4,"-6.660509, -40.60160776"
FPG0889,"https://www.google.com/maps/place/-6.77397038, -39.98134982",ANN01P4,"-6.77397038, -39.98134982"
FPG2027,"https://www.google.com/maps/place/-6.9055468, -40.15377564",ANN01P4,"-6.9055468, -40.15377564"
FPG0894,"https://www.google.com/maps/place/-6.59504776, -40.03442105",ANN01P4,"-6.59504776, -40.03442105"
FPG2123,"https://www.google.com/maps/place/-6.4174443, -40.26486269",ANN01P4,"-6.4174443, -40.26486269"
FPG0891,"https://www.google.com/maps/place/-6.77428127, -40.00185362",ANN01P4,"-6.77428127, -40.00185362"
FPG0685,"https://www.google.com/maps/place/-6.66721836, -40.62105608",ANN01P4,"-6.66721836, -40.62105608"
FPG0874,"https://www.google.com/maps/place/-6.61434662, -40.25544323",ANN01P4,"-6.61434662, -40.25544323"
FPE0235,"https://www.google.com/maps/place/-6.63994175, -40.54897934",ANN01P4,"-6.63994175, -40.54897934"
FPG1077,"https://www.google.com/maps/place/-6.66679123, -40.57427874",ANN01P4,"-6.66679123, -40.57427874"
FPG1135,"https://www.google.com/maps/place/-6.62722778, -40.1222537",ANN01P4,"-6.62722778, -40.1222537"
FPG2554,"https://www.google.com/maps/place/-6.59208413, -40.42561715",ANN01P4,"-6.59208413, -40.42561715"
FPG2042,"https://www.google.com/maps/place/-6.66429398, -40.32556168",ANN01P4,"-6.66429398, -40.32556168"
FPG1033,"https://www.google.com/maps/place/-6.58958985, -40.14793629",ANN01P4,"-6.58958985, -40.14793629"
