CD,LOCALIZAÇÃO,ALIMENTADOR,TOTAL CLIENTES,TOTAL POTENCIA,GPS - BT
TOS0351,"https://www.google.com/maps/place/-7.29223467,-39.02805405",MLG01Y5,26,30,"-7.29223467,-39.02805405"
TOS0353,"https://www.google.com/maps/place/-7.2886617,-39.02558966",MLG01Y5,1,10,"-7.2886617,-39.02558966"
TOS0355,"https://www.google.com/maps/place/-7.2737363,-39.02053381",MLG01Y5,0,15,"-7.2737363,-39.02053381"
TOS0357,"https://www.google.com/maps/place/-7.27208956,-39.0279894",MLG01Y5,1,5,"-7.27208956,-39.0279894"
TOS0359,"https://www.google.com/maps/place/-7.2723426,-39.03164024",MLG01Y5,1,5,"-7.2723426,-39.03164024"
TOS0360,"https://www.google.com/maps/place/-7.27444131,-39.03069824",MLG01Y5,14,10,"-7.27444131,-39.03069824"
TOS0361,"https://www.google.com/maps/place/-7.27934402,-39.0327369",MLG01Y5,13,45,"-7.27934402,-39.0327369"
TOS0362,"https://www.google.com/maps/place/-7.28215704,-39.03589881",MLG01Y5,18,45,"-7.28215704,-39.03589881"
TOS1369,"https://www.google.com/maps/place/-7.28230298,-38.98721397",MLG01Y5,10,45,"-7.28230298,-38.98721397"
TOS1371,"https://www.google.com/maps/place/-7.22141809,-38.92390858",MLG01Y5,1,10,"-7.22141809,-38.92390858"
TOS1373,"https://www.google.com/maps/place/-7.2258053,-38.92370856",MLG01Y5,0,10,"-7.2258053,-38.92370856"
TOS1375,"https://www.google.com/maps/place/-7.23140422,-38.92094483",MLG01Y5,0,10,"-7.23140422,-38.92094483"
TOS1377,"https://www.google.com/maps/place/-7.23641563,-38.92090773",MLG01Y5,0,10,"-7.23641563,-38.92090773"
TOS1378,"https://www.google.com/maps/place/-7.26635532,-38.99967057",MLG01Y5,34,10,"-7.26635532,-38.99967057"
TOS1380,"https://www.google.com/maps/place/-7.23170211,-38.91743922",MLG01Y5,0,10,"-7.23170211,-38.91743922"
TOS1381,"https://www.google.com/maps/place/-7.22764781,-38.90827303",MLG01Y5,0,10,"-7.22764781,-38.90827303"
TOS1388,"https://www.google.com/maps/place/-7.28820189,-39.08657783",MLG01Y5,0,10,"-7.28820189,-39.08657783"
TOS1390,"https://www.google.com/maps/place/-7.29391071,-39.08177735",MLG01Y5,0,10,"-7.29391071,-39.08177735"
TOS1391,"https://www.google.com/maps/place/-7.30042312,-39.0850219",MLG01Y5,3,10,"-7.30042312,-39.0850219"
TOS1392,"https://www.google.com/maps/place/-7.3062488,-39.08412608",MLG01Y5,1,10,"-7.3062488,-39.08412608"
TOS1400,"https://www.google.com/maps/place/-7.1884043,-39.05017509",MLG01Y5,4,10,"-7.1884043,-39.05017509"
TOS1401,"https://www.google.com/maps/place/-7.19152557,-39.04599991",MLG01Y5,2,10,"-7.19152557,-39.04599991"
TOS1404,"https://www.google.com/maps/place/-7.32933236,-38.98852633",MLG01Y5,0,15,"-7.32933236,-38.98852633"
TOS1407,"https://www.google.com/maps/place/-7.30583032,-38.96880376",MLG01Y5,1,15,"-7.30583032,-38.96880376"
TOS1409,"https://www.google.com/maps/place/-7.22530877,-39.0708499",MLG01Y5,11,10,"-7.22530877,-39.0708499"
TOS1412,"https://www.google.com/maps/place/-7.21343525,-38.96063086",MLG01Y5,1,10,"-7.21343525,-38.96063086"
TOS1415,"https://www.google.com/maps/place/-7.24973186,-38.92516297",MLG01Y5,1,5,"-7.24973186,-38.92516297"
TOS1417,"https://www.google.com/maps/place/-7.24501085,-38.93102465",MLG01Y5,1,5,"-7.24501085,-38.93102465"
TOS1420,"https://www.google.com/maps/place/-7.24673078,-38.93954855",MLG01Y5,0,5,"-7.24673078,-38.93954855"
TOS1422,"https://www.google.com/maps/place/-7.24457819,-38.94203089",MLG01Y5,1,5,"-7.24457819,-38.94203089"
TOS1423,"https://www.google.com/maps/place/-7.23281021,-38.9476848",MLG01Y5,1,5,"-7.23281021,-38.9476848"
TOS1429,"https://www.google.com/maps/place/-7.30043961,-38.97930432",MLG01Y5,28,45,"-7.30043961,-38.97930432"
TOS1432,"https://www.google.com/maps/place/-7.31077036,-38.99105454",MLG01Y5,6,10,"-7.31077036,-38.99105454"
TOS1433,"https://www.google.com/maps/place/-7.3106887,-38.98283721",MLG01Y5,3,15,"-7.3106887,-38.98283721"
TOS1436,"https://www.google.com/maps/place/-7.25656214,-39.11556902",MLG01Y5,6,15,"-7.25656214,-39.11556902"
TOS1440,"https://www.google.com/maps/place/-7.1794279,-39.07197498",MLG01Y5,3,15,"-7.1794279,-39.07197498"
TOS1441,"https://www.google.com/maps/place/-7.32159762,-38.9751538",MLG01Y5,0,15,"-7.32159762,-38.9751538"
TOS1443,"https://www.google.com/maps/place/-7.13689717,-39.04819519",MLG01Y5,1,10,"-7.13689717,-39.04819519"
TOS1454,"https://www.google.com/maps/place/-7.31613455,-38.99143495",MLG01Y5,1,15,"-7.31613455,-38.99143495"
TOS1458,"https://www.google.com/maps/place/-7.16084953,-39.05851351",MLG01Y5,1,10,"-7.16084953,-39.05851351"
TOS1459,"https://www.google.com/maps/place/-7.24298188,-39.15439039",BBL01M7,26,45,"-7.24298188,-39.15439039"
TOS1463,"https://www.google.com/maps/place/-7.24420194,-39.00768744",MLG01Y5,1,750,"-7.24420194,-39.00768744"
TOS1465,"https://www.google.com/maps/place/-7.26366944,-39.08718009",MLG01Y5,31,45,"-7.26366944,-39.08718009"
TOS1470,"https://www.google.com/maps/place/-7.31134755,-38.95957132",MLG01Y5,10,15,"-7.31134755,-38.95957132"
TOS1477,"https://www.google.com/maps/place/-7.31447748,-38.96040455",MLG01Y5,9,15,"-7.31447748,-38.96040455"
TOS1479,"https://www.google.com/maps/place/-7.30571251,-38.96588651",MLG01Y5,7,10,"-7.30571251,-38.96588651"
TOS1481,"https://www.google.com/maps/place/-7.24687602,-39.16747232",BBL01M7,66,45,"-7.24687602,-39.16747232"
TOS1484,"https://www.google.com/maps/place/-7.19997794,-39.08492162",MLG01Y5,4,10,"-7.19997794,-39.08492162"
TOS1487,"https://www.google.com/maps/place/-7.27630699,-39.08455535",MLG01Y5,7,5,"-7.27630699,-39.08455535"
TOS1488,"https://www.google.com/maps/place/-7.27875823,-39.08554327",MLG01Y5,16,5,"-7.27875823,-39.08554327"
TOS1490,"https://www.google.com/maps/place/-7.2653689,-38.98077352",MLG01Y5,1,15,"-7.2653689,-38.98077352"
TOS1491,"https://www.google.com/maps/place/-7.18999908,-39.00333897",MLG01Y5,0,10,"-7.18999908,-39.00333897"
TOS1493,"https://www.google.com/maps/place/-7.18783691,-39.0143347",MLG01Y5,0,10,"-7.18783691,-39.0143347"
TOS1495,"https://www.google.com/maps/place/-7.24732036,-39.16446503",BBL01M7,4,30,"-7.24732036,-39.16446503"
TOS1496,"https://www.google.com/maps/place/-7.24676419,-39.1761504",BBL01M7,3,15,"-7.24676419,-39.1761504"
TOS1501,"https://www.google.com/maps/place/-7.28178442,-38.94700872",MLG01Y5,8,15,"-7.28178442,-38.94700872"
TOS1502,"https://www.google.com/maps/place/-7.28101536,-38.94569521",MLG01Y5,6,10,"-7.28101536,-38.94569521"
TOS1503,"https://www.google.com/maps/place/-7.1275002,-38.9740959",MLG01Y5,1,10,"-7.1275002,-38.9740959"
TOS1505,"https://www.google.com/maps/place/-7.25264699,-39.14158466",BBL01M7,65,45,"-7.25264699,-39.14158466"
TOS1508,"https://www.google.com/maps/place/-7.24878937,-39.15418402",BBL01M7,4,45,"-7.24878937,-39.15418402"
TOS1510,"https://www.google.com/maps/place/-7.26406672,-38.99802185",MLG01Y5,9,10,"-7.26406672,-38.99802185"
TOS1513,"https://www.google.com/maps/place/-7.24067933,-39.14163529",MLG01Y5,79,75,"-7.24067933,-39.14163529"
TOS1515,"https://www.google.com/maps/place/-7.30298725,-38.94189651",MLG01Y5,9,15,"-7.30298725,-38.94189651"
TOS1534,"https://www.google.com/maps/place/-7.29285547,-38.93868169",MLG01Y5,2,10,"-7.29285547,-38.93868169"
TOS1535,"https://www.google.com/maps/place/-7.24565595,-39.1643829",BBL01M7,1,112.5,"-7.24565595,-39.1643829"
TOS1536,"https://www.google.com/maps/place/-7.24652441,-38.95386118",MLG01Y5,1,10,"-7.24652441,-38.95386118"
TOS1539,"https://www.google.com/maps/place/-7.19292928,-39.09472963",MLG01Y5,24,45,"-7.19292928,-39.09472963"
TOS1543,"https://www.google.com/maps/place/-7.3278941,-39.0111317",MLG01Y5,0,15,"-7.3278941,-39.0111317"
TOS1550,"https://www.google.com/maps/place/-7.2534902,-39.1351804",BBL01M7,52,45,"-7.2534902,-39.1351804"
TOS1552,"https://www.google.com/maps/place/-7.24222999,-39.00368354",MLG01Y5,5,10,"-7.24222999,-39.00368354"
TOS1553,"https://www.google.com/maps/place/-7.24159679,-39.00001483",MLG01Y5,9,10,"-7.24159679,-39.00001483"
TOS1556,"https://www.google.com/maps/place/-7.25227871,-39.13296066",MLG01Y5,57,75,"-7.25227871,-39.13296066"
TOS1557,"https://www.google.com/maps/place/-7.22105956,-38.94716985",MLG01Y5,5,10,"-7.22105956,-38.94716985"
TOS1558,"https://www.google.com/maps/place/-7.27971575,-38.98368092",MLG01Y5,29,45,"-7.27971575,-38.98368092"
